level,message,timestamp,src_port,Src IP,data,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP,Malicious_Flag,Anon Src IP
info,Connection found,2025-01-21 05:46:08+00:00,57812,165.154.41.205,R0VUIC8gSFRUUC8xLjENClVzZXItQWdlbnQ6IGN1cmwvNy4yOS4wDQpIb3N0OiAzLjE1LjIyLjE2Nw0KQWNjZXB0OiAqLyoNCg0K,15,"Abusix, ADMINUSLabs, Criminal IP, BitDefender, Certego, CRDF, CyRadar, Fortinet, G-Data, GreyNoise, Guardpot, IPsum, Lionic, SOCRadar, VIPRE","malicious, malicious, malicious, phishing, malicious, malicious, malicious, malware, phishing, malicious, malicious, malicious, malicious, malware, phishing",,-1,HK,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0,93.154.42.13
info,Connection found,2025-01-21 05:46:11+00:00,58678,165.154.41.205,DQoNCg==,15,"Abusix, ADMINUSLabs, Criminal IP, BitDefender, Certego, CRDF, CyRadar, Fortinet, G-Data, GreyNoise, Guardpot, IPsum, Lionic, SOCRadar, VIPRE","malicious, malicious, malicious, phishing, malicious, malicious, malicious, malware, phishing, malicious, malicious, malicious, malicious, malware, phishing",,-1,HK,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0,93.154.42.13
info,Connection found,2025-02-10 09:25:02+00:00,37491,204.76.203.70,Cg==,13,"ADMINUSLabs, Criminal IP, alphaMountain.ai, BitDefender, Chong Lua Dao, CRDF, ESET, Forcepoint ThreatSeeker, G-Data, Lionic, SOCRadar, Sophos, Webroot","malicious, malicious, malicious, malware, malicious, malicious, malware, malicious, malware, malware, malware, malware, malicious",,-1,NL,AS51396 Pfcloud UG,0,13.51.8.198
info,Connection found,2025-02-15 10:00:57+00:00,41641,5.135.58.193,R0VUIC8gSFRUUC8xLjENCkhvc3Q6IDMuMTUuMjIuMTY3OjI1NzUNCkNvbm5lY3Rpb246IGNsb3NlDQpVc2VyLUFnZW50OiBNb3ppbGxhLzUuMCAoWDExOyBVYnVudHU7IExpbnV4IHg4Nl82NDsgcnY6MTMwLjApIEdlY2tvLzIwMTAwMTAxIEZpcmVmb3gvMTMwLjANCkFjY2VwdDogdGV4dC9odG1sLGFwcGxpY2F0aW9uL3hodG1sK3htbCxhcHBsaWNhdGlvbi94bWw7cT0wLjksKi8qO3E9MC44DQpBY2NlcHQtTGFuZ3VhZ2U6IGVuLVVTLGVuO3E9MC41DQoNCg==,1,SOCRadar,malware,,0,FR,AS16276 OVH SAS,0,244.119.37.254
info,Connection found,2025-03-17 01:32:47+00:00,56394,165.154.11.202,R0VUIC8gSFRUUC8xLjENClVzZXItQWdlbnQ6IGN1cmwvNy4yOS4wDQpIb3N0OiAzLjE1LjIyLjE2Nw0KQWNjZXB0OiAqLyoNCg0K,13,"ADMINUSLabs, Criminal IP, BitDefender, Chong Lua Dao, CRDF, CyRadar, Fortinet, G-Data, GreyNoise, Guardpot, Lionic, SOCRadar, VIPRE","malicious, malicious, phishing, malicious, malicious, malicious, malware, phishing, malicious, malicious, malicious, malware, phishing",,-2,NG,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0,93.154.8.17
info,Connection found,2025-03-17 01:32:50+00:00,57652,165.154.11.202,DQoNCg==,13,"ADMINUSLabs, Criminal IP, BitDefender, Chong Lua Dao, CRDF, CyRadar, Fortinet, G-Data, GreyNoise, Guardpot, Lionic, SOCRadar, VIPRE","malicious, malicious, phishing, malicious, malicious, malicious, malware, phishing, malicious, malicious, malicious, malware, phishing",,-2,NG,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0,93.154.8.17
info,Connection found,2025-03-21 00:53:27+00:00,45048,161.248.30.30,R0VUIC8gSFRUUC8xLjENCkhvc3Q6IDMuMTUuMjIuMTY3OjI1NzUNClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChXaW5kb3dzIE5UIDEwLjA7IFdpbjY0OyB4NjQpDQpDb25uZWN0aW9uOiBjbG9zZQ0KQWNjZXB0LUVuY29kaW5nOiBnemlwDQoNCg==,0,,,,0,VN,AS45899 VNPT Corp,0,91.216.17.102
info,Connection found,2025-03-21 00:53:32+00:00,45078,161.248.30.30,FgMBAO4BAADqAwMv532XXYgHqQLTPqYqVxYiw1lbTeM9Zajv/9cSWvrt0yDVvUQU0MMEOwyvZ/BZ64QGHeMrZpAqz2T3R1hBhobgXwAmwC/AMMArwCzMqMypwBPACcAUwAoAnACdAC8ANcASAAoTARMDEwIBAAB7AAUABQEAAAAAAAoACgAIAB0AFwAYABkACwACAQAADQAaABgIBAQDCAcIBQgGBAEFAQYBBQMGAwIBAgP/AQABAAASAAAAKwAJCAMEAwMDAgMBADMAJgAkAB0AIBbFCs7WwHb+gvlEjFNGMzHwP7K+wF2QVssMb9dgXQxL,0,,,,0,VN,AS45899 VNPT Corp,0,91.216.17.102
info,Connection found,2025-03-25 01:36:35+00:00,57578,161.248.30.30,R0VUIC8gSFRUUC8xLjENCkhvc3Q6IDMuMTUuMjIuMTY3OjI1NzUNClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChXaW5kb3dzIE5UIDEwLjA7IFdpbjY0OyB4NjQpDQpDb25uZWN0aW9uOiBjbG9zZQ0KQWNjZXB0LUVuY29kaW5nOiBnemlwDQoNCg==,0,,,,0,VN,AS45899 VNPT Corp,0,91.216.17.102
info,Connection found,2025-03-25 01:36:40+00:00,48824,161.248.30.30,FgMBAO4BAADqAwPOnuVwyw2yCyULevxlVihMcAw6gops8pbzK1UjbSWSnCBcEKXkPRoSiHLwWinuISV58pecDegYDIQ6PSgmoWAgogAmwC/AMMArwCzMqMypwBPACcAUwAoAnACdAC8ANcASAAoTARMDEwIBAAB7AAUABQEAAAAAAAoACgAIAB0AFwAYABkACwACAQAADQAaABgIBAQDCAcIBQgGBAEFAQYBBQMGAwIBAgP/AQABAAASAAAAKwAJCAMEAwMDAgMBADMAJgAkAB0AICGSHku8G1EaYweTPzLpDOFU+A1W29+5UPfvMuykdTwY,0,,,,0,VN,AS45899 VNPT Corp,0,91.216.17.102
